Origin,['Dan Brown'],2017-10-03,480,['Fiction'],3.5,85,True
Inferno,['Dan Brown'],2014-05-06,611,['Fiction'],3,3353,False
Wild Symphony,['Dan Brown'],2022-01-05,40,,3.5,2,False
Illuminati,['Dan Brown'],2010-10-29,731,['Fiction'],4.5,7,True
The Lost Symbol,['Dan Brown'],2012-05-01,624,['Fiction'],3.5,104,False
Deception Point,['Dan Brown'],2019-07-30,752,['Fiction'],,,False
Angels and Demons,['Dan Brown'],2013-03-25,640,['Anti-Catholicism'],4,3,False
Crypto,['Dan Brown'],2016,434,['Fiction'],,,False
The Da Vinci Code,['Dan Brown'],2003,468,['Fiction'],3,3471,False
Digital Fortress,['Dan Brown'],2009,510,['American fiction'],3,3051,False
The Institute,['Stephen King'],2019-09-10,576,['Fiction'],,,False
Billy Summers,['Stephen King'],2021-08-03,544,['Fiction'],3.5,31,True
The Outsider,['Stephen King'],2018-05-22,576,['Fiction'],,,False
Elevation,['Stephen King'],2018-10-30,160,['Fiction'],3.5,56,False
1922,['Stephen King'],2019-11-12,144,['Fiction'],3.5,4,False
Duma Key,['Stephen King'],2008-01-22,611,['Fiction'],4,221,False
Desperation,['Stephen King'],1996,690,['Fiction'],4,7,False
Sleeping Beauties,"['Stephen King', 'Owen King']",2017-09-26,720,['Fiction'],3.5,45,False
Under the Dome,['Stephen King'],2009-11-10,1074,['Fiction'],4,65,False
Ã‡a,['Stephen King'],2002,799,,,,False
BEST OF PAULO COELHO.,['PAULO. COELHO'],2017,,,,,False
Hippie,['Paulo Coelho'],2019-05-16,304,,3.5,4,False
PAULO COELHO,['PAULO. COELHO'],2018,,,,,False
The Archer,['Paulo Coelho'],2020,160,['FICTION'],5,1,False
Aleph,['Paulo Coelho'],2012,269,['Fiction'],,,False
Manuscript Found in Accra,['Paulo Coelho'],2013-04-01,208,['Fiction'],3.5,19,True
Maktub,['Paulo Coelho'],2002,192,['Juvenile Nonfiction'],,,False
The Paulo Coelho Collection,['Paulo Coelho'],2022,0,,,,False
The Spy,['Paulo Coelho'],2017,192,['Fiction'],3.5,11,False
Eleven Minutes,"['Coelho', 'HarperCollins Publishers India']",2006-03-01,304,,3.5,32,False
Collins Complete Works of Oscar Wilde,"['Oscar Wilde', 'Merlin Holland']",2003,1304,['Drama'],5,1,False
Complete Works of Oscar Wilde (Collins Classics),['Oscar Wilde'],2010-06-10,1216,['Fiction'],5,1,True
Oscar Wilde's Wit and Wisdom,['Oscar Wilde'],2012-03-01,64,['Reference'],4,1,True
The Collected Works of Oscar Wilde,['Oscar Wilde'],2007,1104,['Literary Collections'],,,False
Oscar Wilde - The Major Works,['Oscar Wilde'],2008-04-17,638,['Foreign Language Study'],,,False
Collected Poems of Oscar Wilde,['Oscar Wilde'],2000,182,['Fiction'],5,1,False
The Complete Short Stories of Oscar Wilde,['Oscar Wilde'],2006-09-08,208,['Fiction'],,,False
The Plays of Oscar Wilde,['Oscar Wilde'],2000,444,['Drama'],4,2,False
Stories for Children,['Oscar Wilde'],1999,96,"[""Children's stories""]",,,False
Oscar Wilde Stories for Children,"['Oscar Wilde', 'P. J. Lynch']",2006,112,['Juvenile Fiction'],,,False
The Christmas Pig,['J. K. Rowling'],2021-10-12,288,['Juvenile Fiction'],4,5,True
The Ickabog,['J. K. Rowling'],2020-11-10,304,['Juvenile Fiction'],4,4,False
Very Good Lives,['J.K. Rowling'],2015-04-14,80,['Self-Help'],4,16,True
The Casual Vacancy,['J. K. Rowling'],2013-07-23,512,['Fiction'],3,319,False
L'Ickabog,['J. K. Rowling'],2020,320,['Juvenile Fiction'],,,False
The Tales of Beedle the Bard,['J. K. Rowling'],2017-01-12,144,,4,50,False
Fantastic Beasts and Where to Find Them,['J. K. Rowling'],2017-11-07,131,"['Animals, Mythical']",4,79,False
Harry Potter and the Goblet of Fire: The Illustrated Edition,['J. K. Rowling'],2019-10-08,464,['Juvenile Fiction'],5,1,False
Harry Potter and the Chamber of Secrets,['J. K. Rowling'],2016,259,['Juvenile Fiction'],4.5,2268,False
Harry Potter and the Sorcerer's Stone,['J.K. Rowling'],2015-12-08,311,['Fiction'],4.5,2047,True
